item_id:token	price:float	sales_type:token	sales_rank:float	categories:token_seq	title:token	brand:token
1	246.63	Video Games	6629.0	'Games', 'Video Games', 'PC'		
2	39.99	Video Games	1673.0	'Accessories', 'PlayStation 3', 'Video Games', 'Controllers', 'Microphones', 'Wii'		
3	105.63	Video Games	12852.0	'Games', 'Kids & Family', 'GameCube', 'Video Games', 'More Systems'		
4	6.05	Video Games	16102.0	'Accessories', 'Cables', 'Video Games', 'Cables & Adapters', 'Wii'		
5	49.99	Video Games	18169.0	'Games', 'Video Games', 'PC'		
6	10.0	Video Games	15480.0	'Games', 'Video Games', 'PC'		
7	2.65	Video Games	12496.0	'Video Games', 'Accessories', 'Xbox 360'		
8	4.42	Video Games	579.0	'Memory', 'Video Games', 'Accessories', 'Wii'	64MB 1019 Block Memory Card compatible for Wii &amp; Gamecube	Generic
9	8.9	Video Games	4962.0	'Video Games', 'Wii'	2 Pack - Gator Crunch Wii Gamecube 6FT Extension Cable / Cord (Lifetime Warranty, Bulk packaging)	
10	3.99	Video Games	20150.0	'Nintendo 64', 'Video Games', 'Games', 'More Systems'		
11	19.99	Video Games	11098.0	'Games', 'Video Games', 'PlayStation', 'More Systems'		
15	24.99	Video Games	16608.0	'Games', 'Video Games', 'PlayStation', 'More Systems'		
19	159.44	Video Games	24652.0	'Games', 'Video Games', 'PlayStation', 'More Systems'		
13	79.95	Video Games	4270.0	'Games', 'Kids & Family', 'PC', 'Video Games', 'More Systems', 'PlayStation'		
17	41.22	Video Games	7902.0	'Games', 'Video Games', 'PlayStation', 'More Systems'		
12	17.98	Video Games	30497.0	'Games', 'Video Games', 'PlayStation', 'More Systems'		
18	125.07	Video Games	14975.0	'Games', 'PC', 'Video Games', 'More Systems', 'PlayStation'		
14	17.98	Video Games	4954.0	'Games', 'Video Games', 'PlayStation', 'More Systems'		
16	199.99	Video Games	27865.0	'Games', 'Video Games', 'PlayStation', 'More Systems'		
23	151.97	Video Games	9486.0	'Games', 'Video Games', 'PlayStation', 'More Systems'		
21	38.24	Video Games	18320.0	'Games', 'Video Games', 'PlayStation', 'More Systems'		
22	151.97	Video Games	10635.0	'Games', 'Video Games', 'PlayStation', 'More Systems'		
20	128.98	Video Games	24201.0	'Games', 'Video Games', 'PlayStation', 'More Systems'		
24	5.75	Video Games	7346.0	'Games', 'Video Games', 'PlayStation', 'More Systems'		
25	249.99	Video Games	6445.0	'Games', 'Kids & Family', 'Nintendo 64', 'Video Games', 'More Systems'		
42	151.97	Video Games	7042.0	'Games', 'Video Games', 'PlayStation', 'More Systems'		
33	234.99	Video Games	24739.0	'Games', 'Video Games', 'PlayStation', 'More Systems'		
